repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
google-research/uda,Model development,Dataset engineering,2175,0,0.00%,1,0.05%,312,Unsupervised Data Augmentation (UDA),"michaelpulsewidth, chiragjn, varunnair18",5,2019-06-19,2019-10-25,0
emcf/engshell,Applications,Coding,2176,0,0.00%,1,0.05%,189,"An English-language shell for any OS, powered by LLMs","emcf, Patronics, AzureDominus",5,2023-03-19,2023-04-28,0
LAION-AI/Open-Assistant,Applications,Bots,36998,0,0.00%,17,0.05%,3226,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.","yk, fozziethebeat, andreaskoepf",100+,2022-12-13,2024-01-06,0
cogentapps/chat-with-gpt,AI engineering,AI interface,2314,0,0.00%,1,0.04%,494,An open-source ChatGPT app with a voice,"cogentapps, ZauberNerd, schmidp",8,2023-03-06,2023-07-15,0
salesforce/decaNLP,AI engineering,Evals,2343,0,0.00%,1,0.04%,472,The Natural Language Decathlon: A Multitask Challenge for NLP,"bmccann, huangyh1108, daminisatya",9,2018-06-20,2018-06-22,0
Jittor/JittorLLMs,Model development,Inference optimization,2364,0,0.00%,1,0.04%,182,计图大模型推理库，具有高性能、配置要求低、中文支持好、可移植等特点,"cjld, lzhengning, zjp-shadow",6,2023-04-02,2023-04-02,0
mosaicml/composer,Model development,Modeling & training,5131,0,0.00%,2,0.04%,416,Supercharge Your Model Training,"mvpatel2000, ravi-mosaicml, dakinggg",100+,2021-10-12,2024-10-08,0
ohmplatform/FreedomGPT,Applications,Bots,2601,0,0.00%,1,0.04%,355,This codebase is for a React and Electron-based app that executes the FreedomGPT LLM locally (offline and private) on Mac and Windows using a chat-based interface,"holdenchristiansen, bhattaraijay05",2,2023-03-21,2023-05-05,404793
dvlab-research/LongLoRA,Model repo,,2610,0,0.00%,1,0.04%,269,Code and documents of LongLoRA and LongAlpaca (ICLR 2024 Oral),"yukang2017, naubull2, gianlucamacri",16,2023-09-21,2023-11-19,0
paperswithcode/galai,Model repo,,2676,0,0.00%,1,0.04%,276,Model API for GALACTICA,"RJT1990, rstojnic, AnthonyHartshorn",6,2022-11-15,2022-12-09,0
Shaunwei/RealChar,AI engineering,AI interface,5979,0,0.00%,2,0.03%,733,"🎙️🤖Create, Customize and Talk to your AI Character/Companion in Realtime (All in One Codebase!). Have a natural seamless conversation with AI everywhere (mobile, web and terminal) using LLM OpenAI GPT3.5/4, Anthropic Claude2, Chroma Vector DB, Whisper Speech2Text, ElevenLabs Text2Speech🎙️🤖","pycui, Shaunwei, lynchee-owo",36,2023-06-26,2024-02-03,0
higgsfield-ai/higgsfield,Infrastructure,Compute management,3290,0,0.00%,1,0.03%,554,"Fault-tolerant, highly scalable GPU orchestration, and a machine learning framework designed for training models with billions to trillions of parameters","arpanetus, higgsfield, zxcjhg",4,2018-05-26,2024-03-23,0
ymcui/Chinese-LLaMA-Alpaca-2,Model repo,Multilingual,7068,0,0.00%,2,0.03%,578,中文LLaMA-2 & Alpaca-2大模型二期项目 + 64K超长上下文模型 (Chinese LLaMA-2 & Alpaca-2 LLMs with 64K long context models),"ymcui, iMountTai, airaria",8,2023-07-18,2023-12-27,0
lucidrains/imagen-pytorch,Model repo,Multimodal,8031,0,0.00%,2,0.02%,761,"Implementation of Imagen, Google's Text-to-Image Neural Network, in Pytorch","lucidrains, Netruk44, animebing",20,2022-05-23,2024-01-08,0
baidu-research/warp-ctc,Model development,Modeling & training,4065,0,0.00%,1,0.02%,1042,Fast parallel CTC.,"ekelsen, jaredcasper, gangliao",20,2016-01-14,2016-01-14,0
varunshenoy/GraphGPT,Applications,Coding,4327,0,0.00%,1,0.02%,388,Extrapolating knowledge graphs from unstructured text using GPT-3 🕵️‍♂️,"varunshenoy, ramonwenger, katsi",3,2023-01-31,2023-03-03,0
BlinkDL/ChatRWKV,Applications,Bots,9395,0,0.00%,2,0.02%,692,"ChatRWKV is like ChatGPT but powered by RWKV (100% RNN) language model, and open source.","www, BlinkDL, daquexian",17,2023-01-13,2023-11-03,0
OpenGVLab/DragGAN,Model repo,Multimodal,4998,0,0.00%,1,0.02%,489,"Unofficial Implementation of DragGAN - ""Drag Your GAN: Interactive Point-based Manipulation on the Generative Image Manifold"" （DragGAN 全功能实现，在线Demo，本地部署试用，代码、模型已全部开源，支持Windows, macOS, Linux）","Zeqiang-Lai, egorbajdarov, egbaydarov",11,2023-05-20,2023-07-02,0
camenduru/stable-diffusion-webui-colab,Applications,Image production,15590,0,0.00%,3,0.02%,2612,stable diffusion webui colab,"camenduru, anuragrajput40904, etherealxx",14,2022-10-05,2023-06-26,546022
ferrislucas/promptr,Applications,Coding,905,0,0.00%,0,0.00%,37,Promptr is a CLI tool that lets you use plain English to instruct GPT3 or GPT4 to make changes to your codebase. ,"ferrislucas, eiriksm, keiththomps",5,2023-03-24,2024-09-07,68
Xwin-LM/Xwin-LM,Model repo,,1017,0,0.00%,0,0.00%,41,"Xwin-LM: Powerful, Stable, and Reproducible LLM Alignment","nbl97, LC-Edward, REIGN12",6,2023-09-11,2024-05-06,0
KhoomeiK/LlamaGym,Model development,Modeling & training,975,0,0.00%,0,0.00%,43,Fine-tune LLM agents with online reinforcement learning,KhoomeiK,1,2024-03-01,2024-03-10,0
wenge-research/YaYi,Model repo,Multilingual,3251,0,0.00%,0,0.00%,44,雅意大模型：为客户打造安全可靠的专属大模型，基于大规模中英文多领域指令数据训练的 LlaMA 2 & BLOOM 系列模型，由中科闻歌算法团队研发。(Repo for YaYi Chinese LLMs based on LlaMA2 & BLOOM),wenge-research,1,2023-05-24,1000-01-01,0
Liuhong99/Sophia,Model development,Modeling & training,933,0,0.00%,0,0.00%,52,The official implementation of “Sophia: A Scalable Stochastic Second-order Optimizer for Language Model Pre-training”,"Liuhong99, attesaarela, eltociear",5,2023-05-23,2024-01-30,0
timqian/openprompt.co,Lists,Prompt engineering,1174,0,0.00%,0,0.00%,59,Create. Use. Share. ChatGPT prompts,timqian,2,2023-03-22,1000-01-01,0
WeOpenML/PandaLM,AI engineering,Evals,882,0,0.00%,0,0.00%,67,,"zhuohaoyu, qianlanwyd",2,2023-04-30,2023-06-25,0
archinetai/audio-ai-timeline,Lists,,1881,0,0.00%,0,0.00%,68,"A timeline of the latest AI models for audio generation, starting in 2023!","Yuan-ManX, flavioschneider, lifeiteng",5,2023-01-29,2023-11-16,0
jncraton/languagemodels,Applications,Bots,1176,0,0.00%,0,0.00%,77,Explore large language models in 512MB of RAM,"jncraton, munoztd0, eltociear",3,2023-05-07,2023-06-20,0
taranjeet/awesome-gpts,Lists,,1242,0,0.00%,0,0.00%,84,Collection of all the GPTs created by the community,"aryankhanna475, taranjeet, ljgonzalez1",26,2023-11-10,2023-12-06,0
lupantech/chameleon-llm,AI engineering,Agent,1082,0,0.00%,0,0.00%,88,"Codes for ""Chameleon: Plug-and-Play Compositional Reasoning with Large Language Models"".","lupantech, guspan-tanadi",2,2023-04-19,2023-12-23,0
hiyouga/FastEdit,AI engineering,Prompt engineering,1273,0,0.00%,0,0.00%,88,🩹Editing large language models within 10 seconds⚡,"hiyouga, BUAADreamer",2,2023-07-09,2023-07-09,0
YangLing0818/RPG-DiffusionMaster,AI engineering,AIE framework,1667,0,0.00%,0,0.00%,96,"[ICML 2024] Mastering Text-to-Image Diffusion: Recaptioning, Planning, and Generating with Multimodal LLMs (RPG)","YangLing0818, BitCodingWalkin, Cominclip",3,2024-01-22,1000-01-01,0
pionxzh/chatgpt-exporter,Tutorials,,1273,0,0.00%,0,0.00%,99,Export and Share your ChatGPT conversation history,"pionxzh, michaelskyba, Notarin",21,2022-12-05,2024-09-12,0
kreneskyp/ix,AI engineering,Agent,1003,0,0.00%,0,0.00%,119,Autonomous GPT-4 agent platform,"kreneskyp, gwc4github, BillSchumacher",5,2023-04-05,2024-03-03,0
eylonmiz/react-agent,Applications,Coding,1419,0,0.00%,0,0.00%,127,The open-source React.js Autonomous LLM Agent,"eylonmiz, adrianlamdev, areibman",6,2023-05-11,2023-11-14,0
jina-ai/dev-gpt,Applications,Coding,1752,0,0.00%,0,0.00%,151,Your Virtual Development Team,"florian-hoenicke, joschkabraun, francescor",7,2023-03-17,2023-06-06,0
santinic/how2,Applications,Coding,5719,0,0.00%,0,0.00%,154,AI for the Command Line,"santinic, PaoloCifariello, danyshaanan",13,2016-02-13,2022-09-01,1596
dot-agent/nextpy,AI engineering,Agent,2193,0,0.00%,0,0.00%,156,🤖Self-Modifying Framework from the Future 🔮 World's First AMS,"anubrag, shravya-34, Raj4646",12,2023-08-07,2024-03-25,0
howl-anderson/unlocking-the-power-of-llms,Tutorials,,2501,0,0.00%,0,0.00%,161,使用 Prompts 和 Chains 让 ChatGPT 成为神奇的生产力工具！Unlocking the power of LLMs.,howl-anderson,1,2023-02-16,1000-01-01,0
openai/lm-human-preferences,Model repo,,1209,0,0.00%,0,0.00%,163,Code for the paper Fine-Tuning Language Models from Human Preferences,"WuTheFWasThat, leondz, karthik-rangarajan",3,2019-09-14,2023-04-14,0
google-deepmind/bsuite,AI engineering,Evals,1502,0,0.00%,0,0.00%,182,bsuite is a collection of carefully-designed experiments that investigate core capabilities of a reinforcement learning (RL) agent,"aslanides, iosband, yilei",13,2019-08-02,2020-08-10,0
TigerResearch/TigerBot,Model repo,Multilingual,2233,0,0.00%,0,0.00%,194,TigerBot: A multi-language multi-task LLM,"Vivicai1005, chentigerye, mint-vip",13,2023-05-12,2024-03-18,0
LinkSoul-AI/Chinese-Llama-2-7b,Model repo,Multilingual,2225,0,0.00%,0,0.00%,202,开源社区第一个能下载、能运行的中文 LLaMA2 模型！,"shiyemin, soulteary, s1w3",4,2023-07-20,2023-08-01,0
salesforce/ctrl,Model development,Modeling & training,1866,0,0.00%,0,0.00%,208,Conditional Transformer Language Model for Controllable Generation,"keskarnitish, voidism, julien-c",4,2019-08-29,2019-10-23,0
google-research/tapas,Model repo,Multimodal,1137,0,0.00%,0,0.00%,218,End-to-end neural table-text understanding models.,"eisenjulian, SyrineKrichene, ChayanBansal",8,2020-03-31,2021-08-09,0
1e0ng/simhash,AI engineering,Dataset engineering,975,0,0.00%,0,0.00%,222,A Python Implementation of Simhash Algorithm,"1e0ng, cjauvin, wuan",12,2013-09-14,2022-03-03,0
allenai/scispacy,Model repo,,1688,0,0.00%,0,0.00%,226,A full spaCy pipeline and models for scientific/biomedical documents.,"dakinggg, DeNeutoy, ibeltagy",22,2018-09-24,2024-09-15,0
RootbeerComputer/backend-GPT,Applications,Coding,2949,0,0.00%,0,0.00%,226,,"evanmays, TheAppleTucker, Teddy55Codes",4,2023-01-21,2023-02-04,0
facebookresearch/jepa,Model repo,,2631,0,0.00%,0,0.00%,250,PyTorch code and models for V-JEPA self-supervised learning from video.,"MidoAssran, bryant1410, orena1",5,2024-02-12,2024-03-01,0
georgia-tech-db/evadb,Applications,Coding,2630,0,0.00%,0,0.00%,262,Database system for AI-powered apps,"gaurav274, jarulraj, xzdandy",63,2018-09-10,2023-12-03,408170
dvlab-research/MiniGemini,Model repo,Multimodal,3189,0,0.00%,0,0.00%,277,"Official repo for ""Mini-Gemini: Mining the Potential of Multi-modality Vision Language Models""","yanwei-li, wcy1122, JulianJuaner",5,2024-03-26,2024-04-17,0
muellerberndt/mini-agi,AI engineering,Agent,2794,0,0.00%,0,0.00%,288,MiniAGI is a simple general-purpose autonomous agent based on the OpenAI API.,"muellerberndt, alaeddine-13, ismaelc",12,2023-04-14,2023-05-05,0
chiphuyen/lazynlp,Model development,Dataset engineering,2159,0,0.00%,0,0.00%,311,Library to scrape and clean web pages to create massive datasets.,"ss18, chiphuyen, cclauss",4,2019-02-27,2019-10-07,0
tensorflow/text,Model development,Dataset engineering,1220,0,0.00%,0,0.00%,340,Making text a first-class citizen in TensorFlow.,"broken, tf-text-github-robot, MarkDaoust",100+,2019-05-29,2024-08-21,0
olivia-ai/olivia,Applications,Bots,3676,0,0.00%,0,0.00%,352,💁‍♀️Your new best friend powered by an artificial neural network,"hugolgst, Aury88, A-Yamout",16,2018-06-05,2021-02-25,0
lencx/nofwl,Applications,Bots,4248,0,0.00%,0,0.00%,398,NoFWL Desktop Application,"lencx, RoyalCrafter, razvanazamfirei",10,2023-02-22,2023-05-05,85442
FlagAI-Open/FlagAI,Model development,Modeling & training,3816,0,0.00%,0,0.00%,414,"FlagAI (Fast LArge-scale General AI models) is a fast, easy-to-use and extensible toolkit for large-scale model.","ftgreat, BAAI-OpenPlatform, shunxing1234",31,2022-05-16,2024-09-29,0
openai/grok,Model repo,,4080,0,0.00%,0,0.00%,515,,"aletheap, yburda, eltociear",3,2021-04-12,2024-03-16,0
shreyashankar/gpt3-sandbox,AI engineering,Prompt engineering,2901,0,0.00%,0,0.00%,883,The goal of this project is to enable users to create cool web demos using the newly released OpenAI GPT-3 API with just a few lines of Python.,"shreyashankar, buyumaz, bora-uyumazturk",13,2020-07-19,2023-02-24,0
ConnectAI-E/Feishu-OpenAI,Applications,Bots,5502,0,0.00%,0,0.00%,953,🎒 飞书  ×（GPT-4 + GPT-4V + DALL·E-3 + Whisper）=  飞一般的工作体验  🚀 语音对话、角色扮演、多话题讨论、图片创作、表格分析、文档导出 🚀,"Leizhenpeng, DDMeaqua, aaakoako",32,2023-02-07,2023-11-20,2974
togethercomputer/OpenChatKit,AI engineering,AIE framework,9003,0,0.00%,0,0.00%,1012,,"xzyaoi, justusc, csris",16,2023-03-03,2024-04-09,0
xtekky/chatgpt-clone,Applications,Bots,3455,0,0.00%,0,0.00%,1029,ChatGPT interface with better UI ,"xtekky, mushonnip, Jerry-523",24,2023-04-18,2024-05-22,0
OpenMOSS/MOSS,Model repo,Agent,11928,0,0.00%,0,0.00%,1145,An open-source tool-augmented conversational language model from Fudan University,"txsun1997, xyltt, piglaker",16,2023-04-15,2023-05-16,0
wong2/chatgpt-google-extension,Applications,Bots,13262,0,0.00%,0,0.00%,1491,This project is deprecated. Check my new project ChatHub:,"wong2, josStorer, hookzof",16,2022-12-04,2023-02-13,0
openai/plugins-quickstart,AI engineering,AI interface,4249,0,0.00%,-1,-0.02%,738,Get a ChatGPT plugin up and running in under 5 minutes!,"logankilpatrick, joedevon",2,2023-04-06,2023-06-05,0
dsdanielpark/Bard-API,AI engineering,AI interface,5326,0,0.00%,-2,-0.04%,530,The unofficial python package that returns response of Google Bard through cookie value.,"dsdanielpark, CBoYXD, veonua",20,2023-05-11,2024-02-13,0
databricks/dbrx,Model repo,,2498,0,0.00%,-1,-0.04%,236,"Code examples and resources for DBRX, a large language model developed by Databricks","bandish-shah, hanlint, asnelling",7,2024-03-26,2024-04-19,0
google-research/electra,Model repo,,2325,0,0.00%,-1,-0.04%,352,ELECTRA: Pre-training Text Encoders as Discriminators Rather Than Generators,"clarkkev, PhilipMay, stefan-it",5,2020-03-10,2021-03-31,0
dice2o/BingGPT,Applications,Bots,9258,0,0.00%,-4,-0.04%,708,"Desktop application of new Bing's AI-powered chat (Windows, macOS and Linux)","dice2o, huwei901108",2,2023-02-16,2023-03-05,590645
mckaywrigley/ai-code-translator,Applications,Coding,3922,0,0.00%,-2,-0.05%,581,"Come join the best place on the internet to learn AI skills. Use code ""aicodetranslator"" for an extra 20% off.","mckaywrigley, freestatman, dreamYiZ",7,2023-03-31,2023-04-05,0
openai/glide-text2im,Model repo,Multimodal,3528,0,0.00%,-2,-0.06%,501,GLIDE: a diffusion-based text-conditional image synthesis model,"unixpickle, prafullasd, lochiego",4,2021-12-10,2022-03-21,0
premAI-io/state-of-open-source-ai,Tutorials,,1510,0,0.00%,-1,-0.07%,89,:closed_book: Clarity in the current fast-paced mess of Open Source innovation,"casperdcl, nsosio, biswaroop1547",14,2023-08-10,2024-04-02,0
farizrahman4u/loopgpt,AI engineering,Agent,1424,0,0.00%,-1,-0.07%,131,Modular Auto-GPT Framework,"FayazRahman, farizrahman4u, iskandarreza",10,2023-04-14,2024-03-10,0
eumemic/ai-legion,AI engineering,Agent,1344,0,0.00%,-1,-0.07%,155,An LLM-powered autonomous agent platform,"eumemic, MalikMAlna, TheBitmonkey",6,2023-04-10,2023-04-16,0
peterw/Chat-with-Github-Repo,Applications,Coding,1133,0,0.00%,-1,-0.09%,169,"This repository contains two Python scripts that demonstrate how to create a chatbot using Streamlit, OpenAI GPT-3.5-turbo, and Activeloop's Deep Lake.","peterw, dtbuchholz, theurgi",8,2023-04-25,2023-05-09,0
lxe/simple-llm-finetuner,Model development,Modeling & training,2043,0,0.00%,-3,-0.15%,133,Simple UI for LLM Model Finetuning,"lxe, vadi2, 64-bit",5,2023-03-22,2023-04-23,0
IntelLabs/control-flag,Model development,Dataset engineering,1241,0,0.00%,-2,-0.16%,112,A system to flag anomalous source code expressions by learning typical expressions from training data,"nhasabni, jgottschlich, jsoref",6,2021-08-04,2024-03-02,0
kha-white/mokuro,Applications,Info aggregation,877,-1,-0.11%,7,0.80%,65,Read Japanese manga inside browser with selectable text.,"kha-white, imsamuka, justremember",10,2022-04-16,2024-07-09,5
S-LoRA/S-LoRA,Infrastructure,Serving,1727,-1,-0.06%,11,0.64%,91,S-LoRA: Serving Thousands of Concurrent LoRA Adapters,"Ying1123, merrymercy, caoshiyi",5,2023-11-05,2024-01-04,0
neo4j/NaLLM,Applications,Data organization,1247,-1,-0.08%,4,0.32%,244,Repository for the NaLLM project,"noahmay, tomasonjo, oskarhane",4,2023-05-02,2023-07-13,0
punica-ai/punica,Infrastructure,Serving,965,-1,-0.10%,3,0.31%,45,Serving multiple LoRA finetuned LLM as one,"abcdabcd987, yzh119, luciferlinx101",7,2023-08-16,2024-01-09,6
saharNooby/rwkv.cpp,Model development,Inference optimization,1409,-1,-0.07%,4,0.28%,97,INT4/INT5/INT8 and FP16 inference on CPU for RWKV language model,"ggerganov, saharNooby, MollySophia",90,2023-03-30,2024-08-07,3729
OpenGVLab/InternImage,Model repo,Multimodal,2493,-1,-0.04%,6,0.24%,232,[CVPR 2023 Highlight] InternImage: Exploring Large-Scale Vision Foundation Models with Deformable Convolutions,"czczup, Zeqiang-Lai, YeShenglong1",13,2022-11-10,2023-08-23,7069
open-mmlab/mmpretrain,Model development,Modeling & training,3398,-1,-0.03%,6,0.18%,1056,OpenMMLab Pre-training Toolbox and Benchmark,"mzr1996, Ezra-Yu, LXXXXR",100+,2020-07-09,2021-12-17,0
google-research/frame-interpolation,Model repo,Multimodal,2833,-1,-0.04%,4,0.14%,280,"FILM: Frame Interpolation for Large Motion, In ECCV 2022.","fitsumreda, chenxwh, AK391",5,2022-01-12,2022-12-22,0
SCIR-HI/Huatuo-Llama-Med-Chinese,Model repo,,4513,-1,-0.02%,6,0.13%,450,"Repo for BenTsao [original name: HuaTuo (华驼)], Instruction-tuning Large Language Models with Chinese Medical Knowledge. 本草（原名：华驼）模型仓库，基于中文医学知识的大语言模型指令微调","s65b40, thinksoso, FlowolfzzZ",6,2023-03-31,2023-08-06,0
